bank,config,rec,acc,ms_per_win,chance
hydcooler,lean,0,0.7500,0.39,0.3333
hydcooler,lean,1,0.2500,0.39,0.3333
hydcooler,lean,2,0.7500,0.39,0.3333
hydcooler,lean,3,1.0000,0.39,0.3333
hydcooler,lean,4,0.7500,0.39,0.3333
hydcooler,lean,5,0.2500,0.39,0.3333
hydcooler,lean,6,0.5000,0.39,0.3333
hydcooler,lean,7,0.2500,0.39,0.3333
hydcooler,lean,8,0.5000,0.39,0.3333
hydcooler,lean,9,0.5000,0.39,0.3333
hydcooler,lean,10,0.7500,0.39,0.3333
hydcooler,lean,11,0.5000,0.39,0.3333
hydcooler,lean,12,0.5000,0.39,0.3333
hydcooler,lean,13,0.7500,0.39,0.3333
hydcooler,lean,14,0.7500,0.39,0.3333
hydcooler,lean,15,0.7500,0.39,0.3333
hydcooler,lean,16,1.0000,0.39,0.3333
hydcooler,lean,17,0.7500,0.39,0.3333
hydcooler,c64b1_alone,0,1.0000,38.19,0.3333
hydcooler,c64b1_alone,1,0.7500,38.19,0.3333
hydcooler,c64b1_alone,2,0.7500,38.19,0.3333
hydcooler,c64b1_alone,3,0.5000,38.19,0.3333
hydcooler,c64b1_alone,4,0.7500,38.19,0.3333
hydcooler,c64b1_alone,5,1.0000,38.19,0.3333
hydcooler,c64b1_alone,6,0.5000,38.19,0.3333
hydcooler,c64b1_alone,7,1.0000,38.19,0.3333
hydcooler,c64b1_alone,8,1.0000,38.19,0.3333
hydcooler,c64b1_alone,9,1.0000,38.19,0.3333
hydcooler,c64b1_alone,10,0.5000,38.19,0.3333
hydcooler,c64b1_alone,11,1.0000,38.19,0.3333
hydcooler,c64b1_alone,12,1.0000,38.19,0.3333
hydcooler,c64b1_alone,13,1.0000,38.19,0.3333
hydcooler,c64b1_alone,14,1.0000,38.19,0.3333
hydcooler,c64b1_alone,15,1.0000,38.19,0.3333
hydcooler,c64b1_alone,16,1.0000,38.19,0.3333
hydcooler,c64b1_alone,17,1.0000,38.19,0.3333
hydcooler,c64b1_aug,0,1.0000,38.19,0.3333
hydcooler,c64b1_aug,1,1.0000,38.19,0.3333
hydcooler,c64b1_aug,2,0.7500,38.19,0.3333
hydcooler,c64b1_aug,3,0.5000,38.19,0.3333
hydcooler,c64b1_aug,4,0.7500,38.19,0.3333
hydcooler,c64b1_aug,5,1.0000,38.19,0.3333
hydcooler,c64b1_aug,6,0.5000,38.19,0.3333
hydcooler,c64b1_aug,7,0.7500,38.19,0.3333
hydcooler,c64b1_aug,8,1.0000,38.19,0.3333
hydcooler,c64b1_aug,9,1.0000,38.19,0.3333
hydcooler,c64b1_aug,10,0.5000,38.19,0.3333
hydcooler,c64b1_aug,11,1.0000,38.19,0.3333
hydcooler,c64b1_aug,12,1.0000,38.19,0.3333
hydcooler,c64b1_aug,13,1.0000,38.19,0.3333
hydcooler,c64b1_aug,14,1.0000,38.19,0.3333
hydcooler,c64b1_aug,15,1.0000,38.19,0.3333
hydcooler,c64b1_aug,16,1.0000,38.19,0.3333
hydcooler,c64b1_aug,17,1.0000,38.19,0.3333
hydcooler,c128b2_alone,0,1.0000,22.34,0.3333
hydcooler,c128b2_alone,1,1.0000,22.34,0.3333
hydcooler,c128b2_alone,2,1.0000,22.34,0.3333
hydcooler,c128b2_alone,3,0.7500,22.34,0.3333
hydcooler,c128b2_alone,4,0.7500,22.34,0.3333
hydcooler,c128b2_alone,5,1.0000,22.34,0.3333
hydcooler,c128b2_alone,6,0.7500,22.34,0.3333
hydcooler,c128b2_alone,7,1.0000,22.34,0.3333
hydcooler,c128b2_alone,8,1.0000,22.34,0.3333
hydcooler,c128b2_alone,9,1.0000,22.34,0.3333
hydcooler,c128b2_alone,10,0.5000,22.34,0.3333
hydcooler,c128b2_alone,11,1.0000,22.34,0.3333
hydcooler,c128b2_alone,12,1.0000,22.34,0.3333
hydcooler,c128b2_alone,13,1.0000,22.34,0.3333
hydcooler,c128b2_alone,14,1.0000,22.34,0.3333
hydcooler,c128b2_alone,15,1.0000,22.34,0.3333
hydcooler,c128b2_alone,16,1.0000,22.34,0.3333
hydcooler,c128b2_alone,17,1.0000,22.34,0.3333
hydcooler,c128b2_aug,0,1.0000,22.34,0.3333
hydcooler,c128b2_aug,1,1.0000,22.34,0.3333
hydcooler,c128b2_aug,2,1.0000,22.34,0.3333
hydcooler,c128b2_aug,3,0.7500,22.34,0.3333
hydcooler,c128b2_aug,4,0.7500,22.34,0.3333
hydcooler,c128b2_aug,5,1.0000,22.34,0.3333
hydcooler,c128b2_aug,6,0.7500,22.34,0.3333
hydcooler,c128b2_aug,7,1.0000,22.34,0.3333
hydcooler,c128b2_aug,8,1.0000,22.34,0.3333
hydcooler,c128b2_aug,9,1.0000,22.34,0.3333
hydcooler,c128b2_aug,10,0.7500,22.34,0.3333
hydcooler,c128b2_aug,11,1.0000,22.34,0.3333
hydcooler,c128b2_aug,12,1.0000,22.34,0.3333
hydcooler,c128b2_aug,13,1.0000,22.34,0.3333
hydcooler,c128b2_aug,14,1.0000,22.34,0.3333
hydcooler,c128b2_aug,15,1.0000,22.34,0.3333
hydcooler,c128b2_aug,16,1.0000,22.34,0.3333
hydcooler,c128b2_aug,17,1.0000,22.34,0.3333
hydcooler,c256b4_alone,0,1.0000,14.79,0.3333
hydcooler,c256b4_alone,1,1.0000,14.79,0.3333
hydcooler,c256b4_alone,2,1.0000,14.79,0.3333
hydcooler,c256b4_alone,3,0.7500,14.79,0.3333
hydcooler,c256b4_alone,4,0.5000,14.79,0.3333
hydcooler,c256b4_alone,5,1.0000,14.79,0.3333
hydcooler,c256b4_alone,6,0.7500,14.79,0.3333
hydcooler,c256b4_alone,7,1.0000,14.79,0.3333
hydcooler,c256b4_alone,8,1.0000,14.79,0.3333
hydcooler,c256b4_alone,9,1.0000,14.79,0.3333
hydcooler,c256b4_alone,10,0.7500,14.79,0.3333
hydcooler,c256b4_alone,11,1.0000,14.79,0.3333
hydcooler,c256b4_alone,12,1.0000,14.79,0.3333
hydcooler,c256b4_alone,13,1.0000,14.79,0.3333
hydcooler,c256b4_alone,14,1.0000,14.79,0.3333
hydcooler,c256b4_alone,15,1.0000,14.79,0.3333
hydcooler,c256b4_alone,16,1.0000,14.79,0.3333
hydcooler,c256b4_alone,17,1.0000,14.79,0.3333
hydcooler,c256b4_aug,0,1.0000,14.79,0.3333
hydcooler,c256b4_aug,1,1.0000,14.79,0.3333
hydcooler,c256b4_aug,2,1.0000,14.79,0.3333
hydcooler,c256b4_aug,3,0.7500,14.79,0.3333
hydcooler,c256b4_aug,4,0.5000,14.79,0.3333
hydcooler,c256b4_aug,5,1.0000,14.79,0.3333
hydcooler,c256b4_aug,6,0.7500,14.79,0.3333
hydcooler,c256b4_aug,7,1.0000,14.79,0.3333
hydcooler,c256b4_aug,8,1.0000,14.79,0.3333
hydcooler,c256b4_aug,9,1.0000,14.79,0.3333
hydcooler,c256b4_aug,10,0.7500,14.79,0.3333
hydcooler,c256b4_aug,11,1.0000,14.79,0.3333
hydcooler,c256b4_aug,12,1.0000,14.79,0.3333
hydcooler,c256b4_aug,13,1.0000,14.79,0.3333
hydcooler,c256b4_aug,14,1.0000,14.79,0.3333
hydcooler,c256b4_aug,15,1.0000,14.79,0.3333
hydcooler,c256b4_aug,16,1.0000,14.79,0.3333
hydcooler,c256b4_aug,17,1.0000,14.79,0.3333
hydcooler,c256b8_alone,0,1.0000,15.12,0.3333
hydcooler,c256b8_alone,1,1.0000,15.12,0.3333
hydcooler,c256b8_alone,2,1.0000,15.12,0.3333
hydcooler,c256b8_alone,3,1.0000,15.12,0.3333
hydcooler,c256b8_alone,4,0.7500,15.12,0.3333
hydcooler,c256b8_alone,5,1.0000,15.12,0.3333
hydcooler,c256b8_alone,6,0.7500,15.12,0.3333
hydcooler,c256b8_alone,7,1.0000,15.12,0.3333
hydcooler,c256b8_alone,8,1.0000,15.12,0.3333
hydcooler,c256b8_alone,9,1.0000,15.12,0.3333
hydcooler,c256b8_alone,10,1.0000,15.12,0.3333
hydcooler,c256b8_alone,11,1.0000,15.12,0.3333
hydcooler,c256b8_alone,12,1.0000,15.12,0.3333
hydcooler,c256b8_alone,13,1.0000,15.12,0.3333
hydcooler,c256b8_alone,14,1.0000,15.12,0.3333
hydcooler,c256b8_alone,15,1.0000,15.12,0.3333
hydcooler,c256b8_alone,16,1.0000,15.12,0.3333
hydcooler,c256b8_alone,17,1.0000,15.12,0.3333
hydcooler,c256b8_aug,0,1.0000,15.12,0.3333
hydcooler,c256b8_aug,1,1.0000,15.12,0.3333
hydcooler,c256b8_aug,2,1.0000,15.12,0.3333
hydcooler,c256b8_aug,3,0.7500,15.12,0.3333
hydcooler,c256b8_aug,4,0.7500,15.12,0.3333
hydcooler,c256b8_aug,5,1.0000,15.12,0.3333
hydcooler,c256b8_aug,6,0.7500,15.12,0.3333
hydcooler,c256b8_aug,7,1.0000,15.12,0.3333
hydcooler,c256b8_aug,8,1.0000,15.12,0.3333
hydcooler,c256b8_aug,9,1.0000,15.12,0.3333
hydcooler,c256b8_aug,10,0.7500,15.12,0.3333
hydcooler,c256b8_aug,11,1.0000,15.12,0.3333
hydcooler,c256b8_aug,12,1.0000,15.12,0.3333
hydcooler,c256b8_aug,13,1.0000,15.12,0.3333
hydcooler,c256b8_aug,14,1.0000,15.12,0.3333
hydcooler,c256b8_aug,15,1.0000,15.12,0.3333
hydcooler,c256b8_aug,16,1.0000,15.12,0.3333
hydcooler,c256b8_aug,17,1.0000,15.12,0.3333
gasid,lean,0,0.2500,0.37,0.2500
gasid,lean,1,0.0000,0.37,0.2500
gasid,lean,2,0.1250,0.37,0.2500
gasid,lean,3,0.3750,0.37,0.2500
gasid,lean,4,0.6250,0.37,0.2500
gasid,lean,5,0.0000,0.37,0.2500
gasid,lean,6,0.2500,0.37,0.2500
gasid,lean,7,0.5000,0.37,0.2500
gasid,lean,8,0.2500,0.37,0.2500
gasid,lean,9,0.2500,0.37,0.2500
gasid,lean,10,0.0000,0.37,0.2500
gasid,lean,11,0.6250,0.37,0.2500
gasid,lean,12,0.5000,0.37,0.2500
