bank,family,kind,acc,chance,n_win,n_rec,secs,folds
GEOMAG-storm,rqa,lean,0.9375,0.5000,128,16,2,0:1.000;1:0.625;2:1.000;3:0.625;4:1.000;5:1.000;6:1.000;7:1.000;8:0.875;9:1.000;10:1.000;11:1.000;12:1.000;13:1.000;14:0.875;15:1.000
GEOMAG-storm,rqa,aug,0.8984,0.5000,128,16,13,0:1.000;1:0.625;2:0.875;3:0.750;4:1.000;5:1.000;6:0.875;7:1.000;8:0.875;9:1.000;10:1.000;11:1.000;12:0.875;13:0.625;14:0.875;15:1.000
HYD-cooler,coherence,lean,0.6250,0.3333,72,18,3,0:0.750;1:0.250;2:0.750;3:1.000;4:0.750;5:0.250;6:0.500;7:0.250;8:0.500;9:0.500;10:0.750;11:0.500;12:0.500;13:0.750;14:0.750;15:0.750;16:1.000;17:0.750
HYD-cooler,coherence,aug,0.7778,0.3333,72,18,6,0:0.750;1:0.250;2:0.750;3:1.000;4:0.500;5:0.500;6:0.750;7:0.500;8:0.750;9:0.750;10:0.750;11:0.750;12:1.000;13:1.000;14:1.000;15:1.000;16:1.000;17:1.000
ECN,rqa,lean,0.5918,0.1667,196,14,2,0:0.357;1:0.714;2:0.429;3:0.571;4:0.929;5:1.000;6:0.000;9:1.000;10:0.929;11:1.000;12:0.500;13:0.143;14:0.714;15:0.000
ECN,rqa,aug,0.6531,0.1667,196,14,17,0:0.643;1:0.714;2:0.786;3:0.786;4:1.000;5:1.000;6:0.000;9:1.000;10:1.000;11:1.000;12:0.571;13:0.214;14:0.429;15:0.000
CWRU,rqa,lean,0.8715,0.1667,2849,24,6,0:1.000;1:1.000;2:1.000;3:1.000;4:0.723;5:0.932;6:0.899;7:0.050;8:0.847;9:0.840;10:0.429;11:0.700;12:0.849;13:0.992;14:1.000;15:1.000;16:1.000;17:1.000;18:1.000;19:1.000;20:0.815;21:0.941;22:0.958;23:0.941
CWRU,rqa,aug,0.9968,0.1667,2849,24,226,0:1.000;1:1.000;2:1.000;3:1.000;4:0.992;5:0.975;6:1.000;7:1.000;8:1.000;9:1.000;10:1.000;11:0.975;12:1.000;13:1.000;14:1.000;15:1.000;16:1.000;17:1.000;18:1.000;19:0.992;20:1.000;21:1.000;22:1.000;23:0.992
MFPT,rqa,lean,0.7799,0.3333,3718,20,6,0:0.881;1:0.888;2:1.000;3:0.909;4:0.755;5:0.787;6:0.469;7:0.811;8:0.748;9:0.846;10:0.895;11:0.073;12:0.657;13:0.923;14:0.909;15:0.902;16:0.902;17:0.727;18:0.776;19:0.738
MFPT,rqa,aug,0.8991,0.3333,3718,20,331,0:0.972;1:0.958;2:0.972;3:0.965;4:0.343;5:0.958;6:0.846;7:1.000;8:0.944;9:0.916;10:0.937;11:0.531;12:0.986;13:0.986;14:0.972;15:1.000;16:0.958;17:0.818;18:0.962;19:0.958
CALCE-soh,rqa,lean,0.5789,0.3333,306,18,3,0:0.000;1:1.000;2:0.641;3:0.000;4:0.825;5:0.750;6:0.000;7:0.250;8:0.724;9:1.000;10:0.800;11:0.926;12:1.000;13:0.333;14:0.778;15:0.000;16:0.500;17:0.893
CALCE-soh,rqa,aug,0.8592,0.3333,306,18,30,0:1.000;1:1.000;2:0.615;3:1.000;4:0.725;5:0.333;6:1.000;7:0.688;8:0.862;9:1.000;10:1.000;11:1.000;12:1.000;13:0.667;14:1.000;15:1.000;16:0.611;17:0.964
