  hold rec 0: acc=0.214  sel=['specflat(cumsum(rank(x)))', 'specflat(cumsum(tanh(x)))', 'specratio(tanh(id(x)))', 'specratio(clip(id(x)))', 'specratio(diff2(id(x)))']
  hold rec 1: acc=0.214  sel=['specflat(cumsum(clip(x)))', 'specflat(cumsum(rank(x)))', 'specflat(cumsum(tanh(x)))', 'specratio(cumsum(rank(x)))', 'specratio(tanh(id(x)))']
  hold rec 2: acc=0.571  sel=['specflat(cumsum(clip(x)))', 'specflat(cumsum(rank(x)))', 'specflat(cumsum(tanh(x)))', 'specratio(cumsum(rank(x)))', 'specratio(diff2(id(x)))']
  hold rec 3: acc=0.714  sel=['specratio(sign(diff(x)))', 'specflat(cumsum(clip(x)))', 'hent(tanh(diff(x)))', 'specratio(cumsum(clip(x)))', 'runmean(diff2(env(x)))']
  hold rec 4: acc=0.929  sel=['specflat(cumsum(clip(x)))', 'acflag(cumsum(diff(x)))', 'specratio(cumsum(clip(x)))', 'specratio(sign(diff(x)))', 'specflat(cumsum(tanh(x)))']
  hold rec 5: acc=1.000  sel=['specratio(sign(diff(x)))', 'acflag(cumsum(diff(x)))', 'specflat(cumsum(clip(x)))', 'specflat(clip(cumsum(x)))', 'specratio(cumsum(diff(x)))']
  hold rec 6: acc=0.000  sel=['specflat(cumsum(clip(x)))', 'specratio(sign(diff(x)))', 'specratio(cumsum(clip(x)))', 'specratio(cumsum(rank(x)))', 'specratio(cumsum(sign(x)))']
  hold rec 9: acc=0.357  sel=['specflat(cumsum(clip(x)))', 'specratio(sign(diff(x)))', 'specflat(cumsum(rank(x)))', 'specratio(tanh(id(x)))', 'specratio(rank(cumsum(x)))']
  hold rec 10: acc=0.857  sel=['specflat(cumsum(clip(x)))', 'specratio(sign(diff(x)))', 'specflat(cumsum(rank(x)))', 'specratio(cumsum(tanh(x)))', 'zcr(rollstd(cumsum(x)))']
  hold rec 11: acc=0.429  sel=['specflat(cumsum(clip(x)))', 'specratio(sign(diff(x)))', 'specflat(cumsum(tanh(x)))', 'specratio(cumsum(clip(x)))', 'specratio(cumsum(sign(x)))']
  hold rec 12: acc=0.500  sel=['specratio(sign(diff(x)))', 'specflat(cumsum(clip(x)))', 'specratio(cumsum(clip(x)))', 'specratio(cumsum(sign(x)))', 'specflat(cumsum(sign(x)))']
  hold rec 13: acc=0.143  sel=['specratio(sign(diff(x)))', 'acflag(cumsum(diff(x)))', 'specflat(cumsum(clip(x)))', 'specratio(diff2(sign(x)))', 'acflag(diff(env(x)))']
  hold rec 14: acc=0.857  sel=['specratio(sign(diff(x)))', 'specflat(cumsum(clip(x)))', 'specflat(cumsum(rank(x)))', 'specratio(diff2(tanh(x)))', 'specflat(cumsum(sign(x)))']
  hold rec 15: acc=0.000  sel=['specratio(diff2(id(x)))', 'ordtrans(diff(env(x)))', 'zcr(diff2(env(x)))', 'speccent(env(rank(x)))', 'acf1(diff2(env(x)))']

ECN-v2.1-dedup: NESTED forged = 0.485 (biased was reported earlier)  vs LEAN 0.592   [286s]
