bank,rec,lean,forge
HYD-cooler,0,1.0000,1.0000
HYD-cooler,1,0.6000,0.6000
HYD-cooler,2,0.6000,0.8000
HYD-cooler,3,1.0000,1.0000
HYD-cooler,4,0.8000,1.0000
HYD-cooler,5,0.0000,0.4000
HYD-cooler,6,0.6000,0.4000
HYD-cooler,7,0.0000,0.4000
HYD-cooler,8,0.4000,0.6000
HYD-cooler,9,0.2000,0.8000
HYD-cooler,10,0.6000,0.6000
HYD-cooler,11,0.6000,0.6000
HYD-cooler,12,0.2000,1.0000
HYD-cooler,13,1.0000,1.0000
HYD-cooler,14,0.8000,0.6000
HYD-cooler,15,0.2000,0.6000
HYD-cooler,16,0.6000,0.6000
HYD-cooler,17,0.4000,1.0000
DCASE-valve-anomaly,0,0.4000,0.6000
DCASE-valve-anomaly,1,0.2000,0.2000
DCASE-valve-anomaly,2,0.0000,0.0000
DCASE-valve-anomaly,3,0.2000,0.4000
DCASE-valve-anomaly,4,0.6000,0.6000
DCASE-valve-anomaly,5,0.0000,1.0000
DCASE-valve-anomaly,6,1.0000,0.2000
DCASE-valve-anomaly,7,1.0000,0.8000
DCASE-valve-anomaly,8,0.4000,0.0000
DCASE-valve-anomaly,9,0.6000,0.8000
DCASE-valve-anomaly,10,0.8000,0.2000
DCASE-valve-anomaly,11,0.0000,0.4000
DCASE-valve-anomaly,12,0.0000,0.4000
DCASE-valve-anomaly,13,1.0000,1.0000
DCASE-valve-anomaly,14,1.0000,0.6000
DCASE-valve-anomaly,15,0.2000,0.2000
HYD-accumulator,0,0.4000,0.4000
HYD-accumulator,1,0.2000,0.6000
HYD-accumulator,2,0.4000,0.0000
HYD-accumulator,3,0.2000,0.0000
HYD-accumulator,4,0.2000,0.0000
HYD-accumulator,5,0.2000,0.2000
HYD-accumulator,6,0.2000,0.8000
HYD-accumulator,7,0.2000,0.2000
HYD-accumulator,8,0.0000,0.4000
HYD-accumulator,9,0.2000,0.2000
HYD-accumulator,10,0.2000,0.2000
HYD-accumulator,11,0.2000,0.0000
HYD-accumulator,12,0.0000,0.4000
HYD-accumulator,13,0.0000,0.0000
HYD-accumulator,14,0.6000,0.2000
HYD-accumulator,15,0.4000,0.4000
HYD-accumulator,16,0.6000,0.6000
HYD-accumulator,17,0.2000,0.2000
HYD-accumulator,18,0.4000,0.6000
HYD-accumulator,19,0.4000,0.2000
HYD-accumulator,20,0.6000,0.6000
HYD-accumulator,21,0.4000,0.6000
HYD-accumulator,22,0.0000,0.2000
HYD-accumulator,23,0.4000,0.2000
HYD-valve-PHASE,0,1.0000,1.0000
HYD-valve-PHASE,1,1.0000,1.0000
HYD-valve-PHASE,2,1.0000,1.0000
HYD-valve-PHASE,3,1.0000,1.0000
HYD-valve-PHASE,4,1.0000,1.0000
HYD-valve-PHASE,5,1.0000,0.0000
HYD-valve-PHASE,6,0.0000,0.0000
HYD-valve-PHASE,7,1.0000,1.0000
HYD-valve-PHASE,8,1.0000,1.0000
HYD-valve-PHASE,9,1.0000,1.0000
HYD-valve-PHASE,10,0.0000,1.0000
HYD-valve-PHASE,11,0.0000,1.0000
HYD-valve-PHASE,12,0.0000,1.0000
HYD-valve-PHASE,13,0.0000,0.0000
HYD-valve-PHASE,14,0.0000,0.0000
HYD-valve-PHASE,15,0.0000,0.0000
HYD-valve-PHASE,16,0.0000,1.0000
HYD-valve-PHASE,17,0.0000,0.0000
HYD-valve-PHASE,18,1.0000,0.0000
HYD-valve-PHASE,19,0.0000,1.0000
HYD-valve-PHASE,20,1.0000,1.0000
HYD-valve-PHASE,21,0.0000,1.0000
HYD-valve-PHASE,22,0.0000,0.0000
HYD-valve-PHASE,23,0.0000,0.0000
CALCE-soh-LOCO,0,0.7925,0.7925
