bank,variant,acc,chance,n_win,n_rec,secs,folds
GEOMAG-storm,base,0.9375,0.5000,128,16,2,0:1.000;1:0.625;2:1.000;3:0.625;4:1.000;5:1.000;6:1.000;7:1.000;8:0.875;9:1.000;10:1.000;11:1.000;12:1.000;13:1.000;14:0.875;15:1.000
GEOMAG-storm,pool4,0.7500,0.5000,128,16,2,0:0.750;1:0.875;2:0.750;3:1.000;4:0.625;5:0.875;6:0.375;7:0.750;8:0.875;9:0.875;10:0.625;11:1.000;12:0.875;13:0.500;14:0.500;15:0.750
GEOMAG-storm,pool16,0.6953,0.5000,128,16,2,0:0.375;1:0.625;2:0.625;3:1.000;4:0.625;5:1.000;6:0.250;7:0.750;8:0.750;9:0.875;10:1.000;11:0.500;12:0.375;13:0.625;14:1.000;15:0.750
GEOMAG-storm,even_sub,0.9141,0.5000,128,16,2,0:1.000;1:0.625;2:1.000;3:0.375;4:1.000;5:1.000;6:1.000;7:1.000;8:0.875;9:1.000;10:1.000;11:1.000;12:1.000;13:0.875;14:0.875;15:1.000
GEOMAG-storm,peak_sub,0.9219,0.5000,128,16,2,0:1.000;1:0.750;2:1.000;3:0.500;4:1.000;5:1.000;6:1.000;7:1.000;8:1.000;9:1.000;10:1.000;11:1.000;12:0.750;13:0.750;14:1.000;15:1.000
GEOMAG-storm,level,0.9844,0.5000,128,16,2,0:1.000;1:1.000;2:1.000;3:1.000;4:1.000;5:1.000;6:1.000;7:1.000;8:1.000;9:1.000;10:1.000;11:1.000;12:1.000;13:0.750;14:1.000;15:1.000
GEOMAG-storm,integ,0.9531,0.5000,128,16,2,0:1.000;1:0.625;2:1.000;3:0.875;4:1.000;5:1.000;6:1.000;7:1.000;8:1.000;9:1.000;10:1.000;11:1.000;12:1.000;13:0.750;14:1.000;15:1.000
ECN,base,0.5918,0.1667,196,14,2,0:0.357;1:0.714;2:0.429;3:0.571;4:0.929;5:1.000;6:0.000;9:1.000;10:0.929;11:1.000;12:0.500;13:0.143;14:0.714;15:0.000
ECN,pool4,0.3571,0.1667,196,14,2,0:0.357;1:0.357;2:0.143;3:0.286;4:0.357;5:0.214;6:0.000;9:0.929;10:1.000;11:1.000;12:0.071;13:0.143;14:0.143;15:0.000
ECN,pool16,0.3010,0.1667,196,14,2,0:0.357;1:0.000;2:0.214;3:0.500;4:0.786;5:0.786;6:0.000;9:0.214;10:0.500;11:0.071;12:0.286;13:0.143;14:0.357;15:0.000
ECN,even_sub,0.4949,0.1667,196,14,2,0:0.357;1:0.429;2:0.143;3:0.786;4:0.857;5:0.714;6:0.000;9:0.857;10:0.857;11:0.857;12:0.286;13:0.286;14:0.500;15:0.000
ECN,peak_sub,0.4796,0.1667,196,14,2,0:0.357;1:0.500;2:0.214;3:0.500;4:1.000;5:0.714;6:0.000;9:0.857;10:0.929;11:0.643;12:0.429;13:0.500;14:0.071;15:0.000
ECN,level,0.6378,0.1667,196,14,2,0:0.429;1:0.643;2:0.857;3:0.714;4:1.000;5:0.929;6:0.000;9:1.000;10:0.929;11:1.000;12:0.500;13:0.214;14:0.714;15:0.000
ECN,integ,0.4694,0.1667,196,14,2,0:0.214;1:0.571;2:0.429;3:0.714;4:0.929;5:0.714;6:0.000;9:0.857;10:0.857;11:0.643;12:0.357;13:0.214;14:0.071;15:0.000
