bank,config,rec,acc,ms_per_win
ecn,lean,0,0.3571,0.37
ecn,lean,1,0.7143,0.37
ecn,lean,2,0.4286,0.37
ecn,lean,3,0.5714,0.37
ecn,lean,4,0.9286,0.37
ecn,lean,5,1.0000,0.37
ecn,lean,6,0.0000,0.37
ecn,lean,9,1.0000,0.37
ecn,lean,10,0.9286,0.37
ecn,lean,11,1.0000,0.37
ecn,lean,12,0.5000,0.37
ecn,lean,13,0.1429,0.37
ecn,lean,14,0.7143,0.37
ecn,lean,15,0.0000,0.37
ecn,m3t5,0,0.6429,71.22
ecn,m3t5,1,0.5000,71.22
ecn,m3t5,2,0.4286,71.22
ecn,m3t5,3,0.2857,71.22
ecn,m3t5,4,0.8571,71.22
ecn,m3t5,5,1.0000,71.22
ecn,m3t5,6,0.0000,71.22
ecn,m3t5,9,0.7857,71.22
ecn,m3t5,10,1.0000,71.22
ecn,m3t5,11,0.7143,71.22
ecn,m3t5,12,0.3571,71.22
ecn,m3t5,13,0.5000,71.22
ecn,m3t5,14,0.2143,71.22
ecn,m3t5,15,0.0000,71.22
cwru,lean,0,1.0000,0.36
cwru,lean,1,1.0000,0.36
cwru,lean,2,1.0000,0.36
cwru,lean,3,1.0000,0.36
cwru,lean,4,0.7227,0.36
cwru,lean,5,0.9322,0.36
cwru,lean,6,0.8992,0.36
cwru,lean,7,0.0504,0.36
cwru,lean,8,0.8475,0.36
cwru,lean,9,0.8403,0.36
cwru,lean,10,0.4286,0.36
cwru,lean,11,0.7000,0.36
cwru,lean,12,0.8487,0.36
cwru,lean,13,0.9915,0.36
cwru,lean,14,1.0000,0.36
cwru,lean,15,1.0000,0.36
cwru,lean,16,1.0000,0.36
cwru,lean,17,1.0000,0.36
cwru,lean,18,1.0000,0.36
cwru,lean,19,1.0000,0.36
cwru,lean,20,0.8151,0.36
cwru,lean,21,0.9412,0.36
cwru,lean,22,0.9580,0.36
cwru,lean,23,0.9412,0.36
ecn,m3t10,0,0.4286,69.68
ecn,m3t10,1,0.5000,69.68
ecn,m3t10,2,0.4286,69.68
ecn,m3t10,3,0.1429,69.68
ecn,m3t10,4,1.0000,69.68
ecn,m3t10,5,1.0000,69.68
ecn,m3t10,6,0.0000,69.68
ecn,m3t10,9,0.8571,69.68
ecn,m3t10,10,0.9286,69.68
ecn,m3t10,11,0.8571,69.68
ecn,m3t10,12,0.5000,69.68
ecn,m3t10,13,0.0000,69.68
ecn,m3t10,14,0.2143,69.68
ecn,m3t10,15,0.0000,69.68
ecn,m5t5,0,0.5000,69.27
ecn,m5t5,1,0.5714,69.27
ecn,m5t5,2,0.3571,69.27
ecn,m5t5,3,0.2143,69.27
ecn,m5t5,4,0.8571,69.27
ecn,m5t5,5,1.0000,69.27
ecn,m5t5,6,0.0000,69.27
ecn,m5t5,9,0.8571,69.27
ecn,m5t5,10,1.0000,69.27
ecn,m5t5,11,0.8571,69.27
ecn,m5t5,12,0.3571,69.27
ecn,m5t5,13,0.3571,69.27
ecn,m5t5,14,0.1429,69.27
ecn,m5t5,15,0.0000,69.27
ecn,m5t10,0,0.3571,66.20
ecn,m5t10,1,0.2857,66.20
ecn,m5t10,2,0.3571,66.20
ecn,m5t10,3,0.4286,66.20
ecn,m5t10,4,0.9286,66.20
ecn,m5t10,5,0.9286,66.20
ecn,m5t10,6,0.0000,66.20
ecn,m5t10,9,0.8571,66.20
ecn,m5t10,10,0.9286,66.20
ecn,m5t10,11,0.9286,66.20
ecn,m5t10,12,0.0714,66.20
ecn,m5t10,13,0.2857,66.20
ecn,m5t10,14,0.0000,66.20
ecn,m5t10,15,0.0000,66.20
cwru,m3t5,0,0.9160,89.07
cwru,m3t5,1,0.9492,89.07
cwru,m3t5,2,0.9831,89.07
cwru,m3t5,3,0.8220,89.07
cwru,m3t5,4,0.8908,89.07
cwru,m3t5,5,0.6356,89.07
cwru,m3t5,6,1.0000,89.07
cwru,m3t5,7,1.0000,89.07
cwru,m3t5,8,1.0000,89.07
cwru,m3t5,9,1.0000,89.07
cwru,m3t5,10,1.0000,89.07
cwru,m3t5,11,0.9750,89.07
cwru,m3t5,12,0.9748,89.07
cwru,m3t5,13,0.9831,89.07
cwru,m3t5,14,0.9915,89.07
cwru,m3t5,15,0.9160,89.07
cwru,m3t5,16,0.9076,89.07
cwru,m3t5,17,1.0000,89.07
cwru,m3t5,18,0.9831,89.07
cwru,m3t5,19,0.7647,89.07
cwru,m3t5,20,1.0000,89.07
cwru,m3t5,21,0.9916,89.07
cwru,m3t5,22,1.0000,89.07
cwru,m3t5,23,0.9832,89.07
cwru,m5t5,0,0.8992,90.02
cwru,m5t5,1,0.9831,90.02
cwru,m5t5,2,0.9915,90.02
cwru,m5t5,3,0.8305,90.02
cwru,m5t5,4,0.8824,90.02
cwru,m5t5,5,0.3644,90.02
cwru,m5t5,6,1.0000,90.02
cwru,m5t5,7,1.0000,90.02
cwru,m5t5,8,1.0000,90.02
cwru,m5t5,9,1.0000,90.02
cwru,m5t5,10,1.0000,90.02
cwru,m5t5,11,0.9083,90.02
cwru,m5t5,12,0.9580,90.02
cwru,m5t5,13,0.9746,90.02
cwru,m5t5,14,0.9322,90.02
cwru,m5t5,15,0.9076,90.02
cwru,m5t5,16,0.8655,90.02
cwru,m5t5,17,1.0000,90.02
cwru,m5t5,18,1.0000,90.02
cwru,m5t5,19,0.8487,90.02
cwru,m5t5,20,1.0000,90.02
cwru,m5t5,21,0.9664,90.02
cwru,m5t5,22,1.0000,90.02
cwru,m5t5,23,0.9748,90.02
cwru,m3t10,0,0.8739,93.17
cwru,m3t10,1,1.0000,93.17
cwru,m3t10,2,0.9831,93.17
cwru,m3t10,3,0.9068,93.17
cwru,m3t10,4,0.7983,93.17
cwru,m3t10,5,0.8220,93.17
cwru,m3t10,6,1.0000,93.17
cwru,m3t10,7,1.0000,93.17
cwru,m3t10,8,0.9831,93.17
cwru,m3t10,9,1.0000,93.17
cwru,m3t10,10,1.0000,93.17
cwru,m3t10,11,1.0000,93.17
cwru,m3t10,12,0.9748,93.17
cwru,m3t10,13,0.9746,93.17
cwru,m3t10,14,0.9831,93.17
cwru,m3t10,15,1.0000,93.17
cwru,m3t10,16,0.8824,93.17
cwru,m3t10,17,1.0000,93.17
cwru,m3t10,18,1.0000,93.17
cwru,m3t10,19,0.9160,93.17
cwru,m3t10,20,1.0000,93.17
cwru,m3t10,21,1.0000,93.17
cwru,m3t10,22,1.0000,93.17
cwru,m3t10,23,0.9580,93.17
cwru,m5t10,0,0.8319,81.02
cwru,m5t10,1,1.0000,81.02
cwru,m5t10,2,0.9746,81.02
cwru,m5t10,3,0.8814,81.02
cwru,m5t10,4,0.6807,81.02
cwru,m5t10,5,0.8136,81.02
cwru,m5t10,6,0.9916,81.02
cwru,m5t10,7,0.8571,81.02
cwru,m5t10,8,0.9831,81.02
cwru,m5t10,9,1.0000,81.02
cwru,m5t10,10,0.9832,81.02
cwru,m5t10,11,0.9083,81.02
cwru,m5t10,12,1.0000,81.02
cwru,m5t10,13,0.9915,81.02
cwru,m5t10,14,0.9915,81.02
cwru,m5t10,15,0.9496,81.02
cwru,m5t10,16,1.0000,81.02
cwru,m5t10,17,1.0000,81.02
cwru,m5t10,18,1.0000,81.02
cwru,m5t10,19,0.9328,81.02
cwru,m5t10,20,1.0000,81.02
cwru,m5t10,21,1.0000,81.02
cwru,m5t10,22,1.0000,81.02
cwru,m5t10,23,0.9832,81.02
mfpt,lean,0,0.8811,0.41
mfpt,lean,1,0.8881,0.41
mfpt,lean,2,1.0000,0.41
mfpt,lean,3,0.9091,0.41
mfpt,lean,4,0.7552,0.41
mfpt,lean,5,0.7867,0.41
mfpt,lean,6,0.4685,0.41
mfpt,lean,7,0.8112,0.41
mfpt,lean,8,0.7483,0.41
mfpt,lean,9,0.8462,0.41
mfpt,lean,10,0.8951,0.41
mfpt,lean,11,0.0734,0.41
mfpt,lean,12,0.6573,0.41
mfpt,lean,13,0.9231,0.41
mfpt,lean,14,0.9091,0.41
mfpt,lean,15,0.9021,0.41
mfpt,lean,16,0.9021,0.41
mfpt,lean,17,0.7273,0.41
mfpt,lean,18,0.7762,0.41
mfpt,lean,19,0.7378,0.41
mfpt,m5t5,0,0.7483,97.04
mfpt,m5t5,1,0.7273,97.04
mfpt,m5t5,2,0.9231,97.04
mfpt,m5t5,3,0.8462,97.04
mfpt,m5t5,4,0.3497,97.04
mfpt,m5t5,5,0.9126,97.04
mfpt,m5t5,6,0.8252,97.04
mfpt,m5t5,7,0.7972,97.04
mfpt,m5t5,8,0.7622,97.04
mfpt,m5t5,9,0.6783,97.04
mfpt,m5t5,10,0.7063,97.04
mfpt,m5t5,11,0.6643,97.04
mfpt,m5t5,12,0.9860,97.04
mfpt,m5t5,13,0.9441,97.04
mfpt,m5t5,14,0.9091,97.04
mfpt,m5t5,15,0.9510,97.04
mfpt,m5t5,16,0.9441,97.04
mfpt,m5t5,17,0.8671,97.04
mfpt,m5t5,18,0.9545,97.04
mfpt,m5t5,19,0.9371,97.04
mfpt,m3t5,0,0.6434,98.62
mfpt,m3t5,1,0.6713,98.62
mfpt,m3t5,2,0.9056,98.62
mfpt,m3t5,3,0.8112,98.62
mfpt,m3t5,4,0.2587,98.62
mfpt,m3t5,5,0.8986,98.62
mfpt,m3t5,6,0.8951,98.62
mfpt,m3t5,7,0.7762,98.62
mfpt,m3t5,8,0.7622,98.62
mfpt,m3t5,9,0.6503,98.62
mfpt,m3t5,10,0.6224,98.62
mfpt,m3t5,11,0.5944,98.62
mfpt,m3t5,12,0.9895,98.62
mfpt,m3t5,13,0.9161,98.62
mfpt,m3t5,14,0.8601,98.62
mfpt,m3t5,15,0.9441,98.62
mfpt,m3t5,16,0.9441,98.62
mfpt,m3t5,17,0.9091,98.62
mfpt,m3t5,18,0.9231,98.62
mfpt,m3t5,19,0.9266,98.62
mfpt,m5t10,0,0.7413,108.12
mfpt,m5t10,1,0.7762,108.12
mfpt,m5t10,2,0.9336,108.12
mfpt,m5t10,3,0.7972,108.12
mfpt,m5t10,4,0.4266,108.12
mfpt,m5t10,5,0.8566,108.12
mfpt,m5t10,6,0.8322,108.12
mfpt,m5t10,7,0.7902,108.12
mfpt,m5t10,8,0.7552,108.12
mfpt,m5t10,9,0.6923,108.12
mfpt,m5t10,10,0.6993,108.12
mfpt,m5t10,11,0.6434,108.12
mfpt,m5t10,12,0.9860,108.12
mfpt,m5t10,13,0.9091,108.12
mfpt,m5t10,14,0.9441,108.12
mfpt,m5t10,15,0.9161,108.12
mfpt,m5t10,16,0.9231,108.12
mfpt,m5t10,17,0.9091,108.12
mfpt,m5t10,18,0.9545,108.12
mfpt,m5t10,19,0.9476,108.12
mfpt,m3t10,0,0.6853,112.50
mfpt,m3t10,1,0.6853,112.50
mfpt,m3t10,2,0.8741,112.50
mfpt,m3t10,3,0.8112,112.50
mfpt,m3t10,4,0.3287,112.50
mfpt,m3t10,5,0.8357,112.50
mfpt,m3t10,6,0.8392,112.50
mfpt,m3t10,7,0.7483,112.50
mfpt,m3t10,8,0.7413,112.50
mfpt,m3t10,9,0.6853,112.50
mfpt,m3t10,10,0.6643,112.50
mfpt,m3t10,11,0.6364,112.50
mfpt,m3t10,12,0.9965,112.50
mfpt,m3t10,13,0.8881,112.50
mfpt,m3t10,14,0.9371,112.50
mfpt,m3t10,15,0.9441,112.50
mfpt,m3t10,16,0.9510,112.50
mfpt,m3t10,17,0.8182,112.50
mfpt,m3t10,18,0.9336,112.50
mfpt,m3t10,19,0.9441,112.50
calce,lean,0,0.0000,0.39
calce,lean,1,1.0000,0.39
calce,lean,2,0.6410,0.39
calce,lean,3,0.0000,0.39
calce,lean,4,0.8250,0.39
calce,lean,5,0.7500,0.39
calce,lean,6,0.0000,0.39
calce,lean,7,0.2500,0.39
calce,lean,8,0.7241,0.39
calce,lean,9,1.0000,0.39
calce,lean,10,0.8000,0.39
calce,lean,11,0.9259,0.39
calce,lean,12,1.0000,0.39
calce,lean,13,0.3333,0.39
